卖方客户,品种,货物编号,货物数量（张）,仓库,品牌,产地,年度,等级,类别
999900000312,CF,CF2020011108145,9,325,,非新疆,1920,2229A,S3U2P3
999900000312,CF,CF2020011100542,9,330,,非新疆,1920,3127C,S3U3P1
999900000312,CF,CF2020011104372,2,309,,新疆,1920,2229C,S3U2P2
999900000312,CF,CF2020011100974,2,332,,非新疆,1920,2129C,S3U3P3
999900000312,CF,CF2020011106064,1,311,,新疆,1920,2128C,S3U2P3
999900000312,CF,CF2020011109621,6,308,,非新疆,1920,1128A,S3U2P2
999900000313,CF,CF2020011109228,9,333,,非新疆,1920,1128C,S2U2P3
999900000313,CF,CF2020011109173,5,322,,非新疆,2020,2229A,S1U3P3
999900000313,CF,CF2020011105868,4,323,,非新疆,2020,1230A,S3U2P3
999900000313,CF,CF2020011100929,7,313,,非新疆,2020,3127C,S4U3P1
999900000313,CF,CF2020011104178,7,309,,新疆,1920,3129B,S3U2P1
999900000313,CF,CF2020011108361,6,327,,非新疆,2020,2227A,S1U2P3
999900000313,CF,CF2020011109288,4,323,,非新疆,1920,2227B,S3U3P3
999900000314,CF,CF2020011104169,9,308,,新疆,1920,1227C,S3U3P3
999900000314,CF,CF2020011103253,4,317,,非新疆,2020,4128A,S4U3P2
999900000314,CF,CF2020011105667,4,310,,非新疆,2020,2130A,S3U2P2
999900000314,CF,CF2020011104691,2,333,,非新疆,1920,1127B,S2U3P2
999900000314,CF,CF2020011104497,3,320,,新疆,2020,1128A,S3U2P2
999900000314,CF,CF2020011106913,4,320,,新疆,2020,1229B,S4U3P2
999900000314,CF,CF2020011103919,4,309,,非新疆,2020,3129C,S1U2P2
999900000314,CF,CF2020011107622,3,302,,新疆,1920,2129B,S4U4P2
999900000315,CF,CF2020011107287,4,313,,非新疆,2020,3130B,S4U3P3
999900000315,CF,CF2020011101366,4,322,,非新疆,1920,1129B,S3U3P2
999900000315,CF,CF2020011101053,6,311,,新疆,1920,2130A,S2U2P3
999900000316,CF,CF2020011105584,7,323,,新疆,2020,3130B,S4U3P1
999900000317,CF,CF2020011100422,8,305,,非新疆,1920,3129C,S3U2P2
999900000317,CF,CF2020011100212,3,330,,新疆,2020,1229C,S2U2P1
999900000317,CF,CF2020011101087,4,323,,新疆,1920,2128B,S3U2P1
999900000318,CF,CF2020011103742,6,308,,非新疆,2020,4130C,S4U3P1
999900000318,CF,CF2020011102718,9,311,,非新疆,1920,4128B,S1U2P3
999900000318,CF,CF2020011106771,8,327,,非新疆,1920,3128B,S2U3P3
999900000318,CF,CF2020011107425,9,314,,非新疆,2020,3128C,S3U4P2
999900000319,CF,CF2020011100211,3,306,,新疆,2020,4129B,S2U3P2
999900000320,CF,CF2020011105449,3,319,,非新疆,2020,2128C,S2U2P1
999900000320,CF,CF2020011109334,5,320,,非新疆,1920,2130C,S3U4P2
999900000320,CF,CF2020011102408,3,329,,非新疆,1920,1131B,S2U3P3
999900000320,CF,CF2020011101812,5,319,,非新疆,2020,1130B,S3U3P2
999900000320,CF,CF2020011104591,7,330,,非新疆,2020,4131A,S4U3P1
999900000321,CF,CF2020011107465,6,308,,非新疆,1920,1227C,S1U2P2
999900000321,CF,CF2020011101320,8,311,,非新疆,1920,1130C,S3U3P3
999900000321,CF,CF2020011104817,9,335,,新疆,1920,3128B,S2U4P2
999900000321,CF,CF2020011108473,8,309,,新疆,1920,2129C,S1U2P3
999900000321,CF,CF2020011109083,8,327,,新疆,2020,1129C,S3U3P1
999900000321,CF,CF2020011106639,2,301,,新疆,1920,3128C,S2U3P1
999900000321,CF,CF2020011102674,2,304,,新疆,1920,2228A,S1U3P3
999900000322,CF,CF2020011107747,2,313,,非新疆,1920,4128C,S2U3P3
999900000323,CF,CF2020011102794,3,322,,新疆,2020,3127C,S1U3P3
999900000323,CF,CF2020011100034,1,325,,非新疆,2020,4129B,S4U3P3
999900000323,CF,CF2020011108038,5,325,,非新疆,2020,1229B,S1U3P3
999900000323,CF,CF2020011107100,9,304,,非新疆,2020,2130B,S1U2P3
999900000323,CF,CF2020011100950,4,303,,非新疆,1920,1128A,S3U4P2
999900000323,CF,CF2020011100268,4,319,,新疆,1920,1229C,S3U3P1
999900000324,CF,CF2020011100148,7,320,,新疆,2020,3130C,S1U3P3
999900000324,CF,CF2020011108940,9,328,,非新疆,2020,1227B,S3U4P2
999900000324,CF,CF2020011103916,5,313,,新疆,1920,2228C,S3U3P3
999900000324,CF,CF2020011106498,1,326,,新疆,2020,3127A,S3U2P3
999900000324,CF,CF2020011107198,9,335,,非新疆,2020,2130B,S2U4P2
999900000324,CF,CF2020011103737,4,332,,非新疆,2020,4128C,S3U2P1
999900000324,CF,CF2020011101561,7,331,,新疆,2020,2128A,S3U4P2
999900000324,CF,CF2020011101033,8,334,,新疆,1920,2128C,S1U3P3
999900000324,CF,CF2020011105154,8,314,,非新疆,2020,4131B,S2U3P1
999900000325,CF,CF2020011103887,1,309,,新疆,2020,4130B,S2U2P3
999900000325,CF,CF2020011109888,3,329,,新疆,1920,3129A,S3U4P2
999900000325,CF,CF2020011107344,1,333,,新疆,1920,4128A,S2U3P1
999900000325,CF,CF2020011105499,6,303,,非新疆,2020,3130B,S4U3P2
999900000325,CF,CF2020011106573,9,308,,新疆,1920,2230B,S1U2P3
999900000325,CF,CF2020011108214,3,325,,非新疆,1920,1131B,S3U3P3
999900000325,CF,CF2020011102033,6,307,,新疆,2020,1229A,S2U3P2
999900000325,CF,CF2020011102188,4,329,,非新疆,1920,2229C,S4U4P2
999900000326,CF,CF2020011101235,2,323,,新疆,1920,1130B,S1U3P2
999900000326,CF,CF2020011107428,3,309,,新疆,1920,2228A,S4U4P2
999900000326,CF,CF2020011106328,5,320,,新疆,1920,1128B,S3U4P2
999900000326,CF,CF2020011102250,4,331,,非新疆,2020,4131B,S2U2P1
999900000326,CF,CF2020011103199,4,314,,新疆,2020,2127A,S3U3P1
999900000326,CF,CF2020011104012,7,322,,非新疆,2020,3128B,S3U2P3
999900000327,CF,CF2020011105986,7,320,,新疆,2020,1129B,S4U3P3
999900000327,CF,CF2020011103101,2,301,,新疆,2020,2127B,S4U3P2
999900000327,CF,CF2020011109908,1,303,,非新疆,1920,4127B,S2U2P1
999900000327,CF,CF2020011100734,1,334,,非新疆,2020,3127A,S2U3P1
999900000327,CF,CF2020011107002,7,311,,非新疆,1920,2128B,S3U3P3
999900000327,CF,CF2020011109522,3,302,,非新疆,2020,1130A,S1U3P3
999900000328,CF,CF2020011106305,9,322,,非新疆,1920,1130C,S3U4P2
999900000328,CF,CF2020011102103,4,310,,新疆,2020,3128B,S3U2P1
999900000328,CF,CF2020011103585,1,311,,非新疆,2020,2131A,S3U4P2
999900000329,CF,CF2020011109140,2,303,,非新疆,1920,2229C,S3U3P2
999900000329,CF,CF2020011109899,6,327,,非新疆,2020,4128C,S3U4P2
999900000329,CF,CF2020011106320,5,306,,新疆,2020,2228A,S3U3P1
999900000329,CF,CF2020011106681,5,319,,非新疆,1920,2128A,S3U3P1
999900000329,CF,CF2020011108833,3,320,,非新疆,2020,3128A,S3U4P2
999900000330,CF,CF2020011108232,9,307,,非新疆,2020,2128B,S3U3P3
999900000330,CF,CF2020011109996,2,323,,新疆,1920,4129C,S4U3P2
999900000330,CF,CF2020011102025,6,309,,新疆,2020,3128A,S2U4P2
999900000330,CF,CF2020011100480,6,303,,非新疆,2020,2229B,S3U4P2
999900000330,CF,CF2020011102710,8,334,,非新疆,1920,4129C,S2U2P2
999900000330,CF,CF2020011108163,3,329,,新疆,1920,3128B,S3U3P1
999900000330,CF,CF2020011109240,7,314,,非新疆,1920,2229B,S4U2P2
999900000330,CF,CF2020011103222,8,327,,新疆,1920,1228A,S1U3P2
999900000330,CF,CF2020011109310,2,313,,非新疆,1920,2131B,S1U2P2
999900000331,CF,CF2020011102121,8,328,,新疆,1920,2228A,S2U2P2
999900000331,CF,CF2020011105832,8,326,,新疆,2020,4128A,S4U4P2
999900000331,CF,CF2020011101544,4,331,,非新疆,1920,2128A,S3U2P1
999900000331,CF,CF2020011105144,3,309,,新疆,2020,1127B,S1U3P2
999900000332,CF,CF2020011105288,3,303,,非新疆,2020,3132B,S3U2P3
999900000332,CF,CF2020011105635,7,302,,新疆,1920,4132B,S4U3P1
999900000332,CF,CF2020011101021,4,331,,非新疆,1920,4132A,S2U2P3
999900000332,CF,CF2020011108971,2,323,,非新疆,2020,2228B,S1U3P2
999900000332,CF,CF2020011102363,6,335,,新疆,2020,2227B,S4U4P2
999900000332,CF,CF2020011101949,2,305,,新疆,2020,1127C,S4U3P1
999900000332,CF,CF2020011109834,8,305,,新疆,1920,2131B,S4U3P1
999900000332,CF,CF2020011108652,5,301,,非新疆,2020,1129C,S4U3P3
999900000333,CF,CF2020011102775,6,322,,非新疆,2020,2129A,S4U3P2
999900000333,CF,CF2020011105627,7,326,,新疆,1920,4131A,S1U2P3
999900000333,CF,CF2020011102038,3,333,,非新疆,2020,1230A,S3U3P1
999900000333,CF,CF2020011105816,3,324,,非新疆,2020,1128B,S3U2P1
999900000333,CF,CF2020011102801,3,325,,非新疆,2020,1228B,S3U3P3
999900000333,CF,CF2020011100721,2,302,,新疆,2020,3127C,S2U3P1
999900000333,CF,CF2020011104953,2,313,,非新疆,2020,2228A,S4U2P2
999900000333,CF,CF2020011102209,1,304,,非新疆,2020,2127A,S3U2P2
999900000333,CF,CF2020011106552,2,302,,新疆,2020,2129C,S2U2P1
999900000334,CF,CF2020011104503,5,322,,新疆,2020,2229A,S3U3P1
999900000334,CF,CF2020011102631,7,324,,新疆,2020,3128C,S2U3P2
999900000335,CF,CF2020011106531,3,309,,非新疆,2020,3129C,S1U2P3
999900000335,CF,CF2020011108700,6,313,,新疆,2020,1129B,S2U2P1
999900000335,CF,CF2020011105257,8,326,,非新疆,1920,2131A,S1U2P3
999900000335,CF,CF2020011107290,9,308,,新疆,2020,1229C,S1U3P3
999900000336,CF,CF2020011109785,5,334,,新疆,1920,1227C,S3U2P2
999900000336,CF,CF2020011102583,8,328,,非新疆,1920,1131B,S2U2P2
999900000337,CF,CF2020011104663,4,307,,非新疆,2020,1127B,S1U3P3
999900000338,CF,CF2020011108476,8,301,,新疆,1920,1131B,S2U2P3
999900000338,CF,CF2020011104424,4,317,,新疆,1920,2128B,S1U2P2
999900000338,CF,CF2020011108903,8,303,,非新疆,1920,2127B,S2U2P2
999900000338,CF,CF2020011105013,1,322,,新疆,2020,2130C,S3U2P3
999900000338,CF,CF2020011104146,6,334,,非新疆,1920,1128A,S3U3P3
999900000338,CF,CF2020011109388,4,332,,新疆,2020,1227B,S1U2P2
999900000339,CF,CF2020011108779,1,331,,非新疆,2020,2130C,S1U2P3
999900000339,CF,CF2020011101879,6,330,,非新疆,1920,1227A,S2U4P2
999900000339,CF,CF2020011102155,9,304,,新疆,1920,2127B,S3U2P2
999900000339,CF,CF2020011101597,3,314,,新疆,1920,2129B,S4U3P1
999900000339,CF,CF2020011109343,8,303,,新疆,1920,3132B,S1U2P2
999900000339,CF,CF2020011109427,5,324,,非新疆,1920,1229C,S4U4P2
999900000339,CF,CF2020011107896,2,317,,新疆,1920,3132B,S4U2P2
999900000339,CF,CF2020011105425,4,320,,非新疆,1920,1129B,S4U3P3
999900000339,CF,CF2020011101256,6,326,,非新疆,1920,1227B,S2U3P1
999900000340,CF,CF2020011106685,2,301,,非新疆,1920,2229A,S1U3P3
999900000340,CF,CF2020011107394,7,327,,非新疆,1920,3128B,S3U2P1
999900000340,CF,CF2020011102123,6,308,,非新疆,1920,2130B,S1U3P2
999900000340,CF,CF2020011104190,3,334,,新疆,2020,2131A,S2U2P2
999900000340,CF,CF2020011107162,6,328,,非新疆,1920,4128A,S1U2P2
999900000340,CF,CF2020011105056,6,305,,新疆,2020,4129C,S2U2P2
999900000340,CF,CF2020011101677,1,331,,非新疆,2020,3128A,S2U2P2
999900000340,CF,CF2020011109458,1,319,,新疆,1920,2230B,S3U2P3
999900000340,CF,CF2020011108404,5,326,,非新疆,1920,1229A,S4U4P2
999900000341,CF,CF2020011108966,4,309,,非新疆,2020,4131B,S4U3P2
999900000341,CF,CF2020011108179,2,334,,新疆,1920,4129B,S2U3P3
999900000341,CF,CF2020011107177,9,334,,新疆,1920,1228C,S2U2P3
999900000342,CF,CF2020011106236,1,304,,新疆,2020,2127C,S4U2P2
999900000342,CF,CF2020011101072,3,325,,新疆,1920,2230B,S3U2P1
999900000343,CF,CF2020011108665,5,301,,非新疆,2020,3131A,S4U2P2
999900000343,CF,CF2020011108442,4,307,,非新疆,1920,1229C,S1U2P2
999900000344,CF,CF2020011106981,8,308,,新疆,1920,3129A,S2U3P2
999900000344,CF,CF2020011101243,6,322,,新疆,1920,1128B,S2U2P3
999900000344,CF,CF2020011105381,2,330,,非新疆,2020,2230B,S3U3P2
999900000344,CF,CF2020011100660,2,301,,新疆,2020,1131B,S2U2P2
999900000344,CF,CF2020011108198,4,323,,非新疆,1920,2128C,S3U2P1
999900000345,CF,CF2020011102492,4,326,,非新疆,2020,2128C,S1U3P3
999900000345,CF,CF2020011101475,4,314,,新疆,2020,2127C,S3U2P2
999900000346,CF,CF2020011105786,8,320,,新疆,1920,2227A,S4U3P2
999900000346,CF,CF2020011103346,8,304,,非新疆,1920,3127B,S3U3P2
999900000346,CF,CF2020011103390,4,317,,非新疆,1920,1229C,S2U3P1
999900000347,CF,CF2020011101696,6,306,,非新疆,1920,1128C,S3U4P2
999900000347,CF,CF2020011103250,8,330,,新疆,2020,1128C,S1U2P2
999900000348,CF,CF2020011101655,8,304,,非新疆,1920,4128B,S3U3P2
999900000349,CF,CF2020011102006,7,327,,非新疆,2020,1229A,S2U3P3
999900000349,CF,CF2020011106139,3,304,,非新疆,1920,1129B,S4U3P3
999900000349,CF,CF2020011101152,3,329,,新疆,1920,1229A,S1U3P2
999900000349,CF,CF2020011103875,7,330,,新疆,2020,4130B,S1U2P2
999900000349,CF,CF2020011101054,9,334,,非新疆,2020,3129A,S1U3P2
999900000350,CF,CF2020011108826,3,328,,非新疆,2020,2229C,S1U3P3
999900000350,CF,CF2020011107836,4,325,,新疆,1920,1129C,S2U3P2
999900000350,CF,CF2020011100232,7,311,,非新疆,1920,1227B,S2U3P3
999900000350,CF,CF2020011106852,5,304,,非新疆,2020,4130B,S1U3P2
999900000351,CF,CF2020011107351,4,324,,非新疆,1920,3127A,S2U3P3
999900000351,CF,CF2020011102892,7,333,,新疆,1920,2228B,S2U2P3
999900000351,CF,CF2020011100596,9,320,,新疆,1920,3130A,S2U2P3
999900000351,CF,CF2020011108571,2,317,,新疆,2020,2229A,S2U2P1
999900000351,CF,CF2020011101821,5,304,,新疆,1920,2130B,S2U2P1
999900000351,CF,CF2020011101107,2,324,,非新疆,2020,4129A,S3U4P2
999900000351,CF,CF2020011109326,5,306,,新疆,2020,2228C,S1U2P2
999900000351,CF,CF2020011101543,9,332,,新疆,1920,3131A,S1U3P2
999900000352,CF,CF2020011108479,5,304,,新疆,1920,4130C,S3U3P2
999900000352,CF,CF2020011108348,4,314,,非新疆,2020,1127B,S1U3P3
999900000352,CF,CF2020011108787,8,335,,新疆,1920,1229B,S1U2P3
999900000352,CF,CF2020011103397,9,326,,非新疆,1920,2229B,S4U3P2
999900000352,CF,CF2020011104314,3,323,,新疆,2020,3128A,S3U2P2
999900000353,CF,CF2020011106664,7,304,,新疆,2020,4132B,S3U2P1
999900000353,CF,CF2020011108545,6,335,,新疆,1920,1227B,S2U2P3
999900000353,CF,CF2020011107681,7,306,,非新疆,1920,1227A,S4U3P1
999900000353,CF,CF2020011103209,9,306,,非新疆,2020,2129B,S2U4P2
999900000354,CF,CF2020011105112,8,308,,新疆,2020,1127C,S3U4P2
999900000354,CF,CF2020011101338,7,327,,非新疆,2020,2228B,S4U3P3
999900000354,CF,CF2020011107225,3,334,,新疆,2020,2131B,S3U3P2
999900000354,CF,CF2020011103919,8,309,,非新疆,2020,3129C,S1U2P2
999900000354,CF,CF2020011106898,7,311,,新疆,2020,3129C,S3U4P2
999900000355,CF,CF2020011105161,1,322,,非新疆,2020,3130C,S3U2P1
999900000355,CF,CF2020011103369,2,307,,非新疆,2020,4129C,S3U3P3
999900000355,CF,CF2020011103620,8,331,,非新疆,1920,1227A,S3U3P2
999900000355,CF,CF2020011107709,3,305,,新疆,1920,1227A,S1U2P3
999900000355,CF,CF2020011101725,8,311,,新疆,1920,1130A,S3U3P1
999900000355,CF,CF2020011106507,4,326,,非新疆,1920,1230A,S2U4P2
999900000356,CF,CF2020011101291,8,331,,新疆,1920,3129A,S3U2P1
999900000356,CF,CF2020011108895,4,324,,非新疆,1920,1229A,S1U3P3
999900000356,CF,CF2020011103258,6,331,,新疆,2020,2227A,S3U2P1
999900000356,CF,CF2020011105171,9,306,,非新疆,2020,4132B,S1U2P3
999900000356,CF,CF2020011108862,3,320,,非新疆,1920,3129A,S4U4P2
999900000357,CF,CF2020011108100,7,330,,新疆,2020,1128C,S2U3P1
999900000357,CF,CF2020011106281,1,305,,非新疆,2020,4130B,S4U3P2
999900000357,CF,CF2020011108376,3,330,,非新疆,2020,2229C,S3U3P2
999900000357,CF,CF2020011105694,2,325,,新疆,1920,2130C,S2U2P2
999900000357,CF,CF2020011105371,2,329,,新疆,2020,3128B,S4U3P2
999900000357,CF,CF2020011108095,3,311,,非新疆,1920,4131A,S3U2P2
999900000358,CF,CF2020011104482,5,303,,非新疆,2020,1129B,S3U3P1
999900000358,CF,CF2020011103464,2,309,,非新疆,2020,2228B,S1U3P2
999900000358,CF,CF2020011101771,7,329,,非新疆,2020,4127B,S1U2P3
999900000358,CF,CF2020011105760,4,310,,新疆,2020,2129C,S3U4P2
999900000358,CF,CF2020011102605,6,303,,新疆,1920,4131B,S4U4P2
999900000358,CF,CF2020011108397,2,309,,新疆,1920,1227A,S3U4P2
999900000358,CF,CF2020011102033,6,307,,新疆,2020,1229A,S2U3P2
999900000358,CF,CF2020011105843,9,308,,新疆,1920,2127A,S3U2P3
999900000358,CF,CF2020011103656,7,306,,非新疆,1920,2130C,S3U3P3
999900000359,CF,CF2020011103966,8,335,,非新疆,2020,3132B,S4U4P2
999900000359,CF,CF2020011106419,3,333,,非新疆,2020,1128B,S2U4P2
999900000359,CF,CF2020011106646,9,314,,新疆,2020,3129A,S2U3P3
999900000359,CF,CF2020011108259,8,313,,新疆,2020,1129B,S1U3P3
999900000359,CF,CF2020011104497,4,320,,新疆,2020,1128A,S3U2P2
999900000360,CF,CF2020011109435,7,324,,非新疆,2020,2228B,S1U3P3
999900000360,CF,CF2020011105541,5,334,,新疆,1920,4130B,S3U3P1
999900000360,CF,CF2020011100674,8,311,,新疆,1920,3128A,S1U2P2
999900000360,CF,CF2020011104417,3,329,,新疆,2020,1228A,S2U3P2
999900000360,CF,CF2020011107903,3,310,,非新疆,2020,4127B,S1U2P3
999900000360,CF,CF2020011109076,6,327,,新疆,2020,2128A,S3U3P2
999900000360,CF,CF2020011105615,1,322,,新疆,2020,1127B,S2U3P3
999900000360,CF,CF2020011109387,7,330,,非新疆,2020,3129C,S3U2P3
999900000360,CF,CF2020011107611,9,314,,非新疆,2020,2128A,S4U3P3
999900000361,CF,CF2020011108672,4,310,,新疆,2020,3127B,S4U2P2
999900000361,CF,CF2020011109719,8,311,,非新疆,1920,2131A,S3U2P2
999900000361,CF,CF2020011106149,9,324,,非新疆,1920,2129A,S2U3P3
999900000361,CF,CF2020011100256,7,303,,非新疆,2020,1127C,S3U4P2
999900000361,CF,CF2020011106462,5,332,,非新疆,1920,1129A,S2U2P2
999900000361,CF,CF2020011109296,5,328,,非新疆,1920,1129B,S1U3P3
999900000361,CF,CF2020011100478,4,331,,非新疆,1920,1128C,S3U3P2
999900000361,CF,CF2020011107400,8,304,,非新疆,2020,4132A,S3U2P2
999900000361,CF,CF2020011109325,3,329,,非新疆,2020,1128A,S3U2P2
999900000362,CF,CF2020011109078,4,307,,新疆,2020,1129B,S1U3P3
999900000362,CF,CF2020011108439,6,301,,非新疆,1920,3129B,S1U3P3
999900000362,CF,CF2020011106605,4,307,,新疆,1920,3128A,S1U2P2
999900000362,CF,CF2020011103673,6,306,,新疆,2020,4130B,S2U3P3
999900000362,CF,CF2020011107466,3,307,,新疆,2020,1227B,S2U2P3
999900000362,CF,CF2020011105791,7,307,,非新疆,2020,2129A,S2U2P3
999900000362,CF,CF2020011101499,1,317,,非新疆,1920,4129C,S2U2P2
999900000362,CF,CF2020011101444,5,320,,新疆,1920,2228B,S2U2P2
999900000362,CF,CF2020011103001,3,326,,新疆,1920,2129A,S3U3P1
999900000363,CF,CF2020011109082,7,306,,新疆,2020,4129C,S2U4P2
999900000363,CF,CF2020011109402,6,334,,非新疆,1920,3128A,S3U2P1
999900000363,CF,CF2020011104148,2,319,,新疆,1920,4130B,S2U4P2
999900000364,CF,CF2020011109878,2,332,,新疆,1920,3128A,S1U2P3
999900000364,CF,CF2020011100157,6,314,,非新疆,2020,2227A,S4U3P1
999900000364,CF,CF2020011104585,3,317,,新疆,1920,2129C,S3U3P1
999900000364,CF,CF2020011107003,8,320,,新疆,1920,1130B,S1U3P2
999900000364,CF,CF2020011105356,7,320,,非新疆,1920,1229A,S4U3P2
999900000364,CF,CF2020011108500,4,305,,新疆,1920,4129C,S3U2P3
999900000364,CF,CF2020011104472,4,325,,新疆,1920,2228C,S1U3P3
999900000365,CF,CF2020011105159,1,329,,新疆,2020,2129B,S1U2P3
999900000365,CF,CF2020011108306,1,330,,非新疆,1920,2127B,S4U3P1
999900000365,CF,CF2020011103181,6,329,,非新疆,1920,1228C,S3U2P3
999900000365,CF,CF2020011106661,6,309,,非新疆,1920,1230B,S2U3P2
999900000365,CF,CF2020011105939,7,326,,新疆,2020,4130A,S3U4P2
999900000365,CF,CF2020011100146,9,319,,非新疆,1920,2128C,S3U3P1
999900000365,CF,CF2020011105354,8,327,,新疆,1920,2129C,S1U3P3
999900000366,CF,CF2020011109730,7,333,,新疆,2020,2131B,S4U3P3
999900000366,CF,CF2020011102519,4,301,,非新疆,2020,2128A,S2U2P1
999900000366,CF,CF2020011107650,8,310,,非新疆,1920,3131B,S2U2P1
999900000366,CF,CF2020011100811,2,302,,非新疆,1920,3128B,S4U2P2
999900000366,CF,CF2020011108414,6,334,,非新疆,1920,2129A,S3U4P2
999900000366,CF,CF2020011101281,2,330,,新疆,2020,1230B,S2U2P3
999900000366,CF,CF2020011100061,6,320,,非新疆,1920,2131A,S1U2P3
999900000366,CF,CF2020011102711,6,311,,非新疆,1920,2128A,S1U2P2
999900000366,CF,CF2020011100607,3,330,,新疆,1920,3127C,S4U3P1
999900000367,CF,CF2020011109841,7,309,,非新疆,2020,3131B,S4U4P2
999900000367,CF,CF2020011102141,2,334,,非新疆,2020,4131B,S3U2P2
999900000367,CF,CF2020011101908,8,305,,非新疆,2020,1129C,S4U3P1
999900000367,CF,CF2020011104004,7,328,,新疆,1920,2130C,S3U2P3
999900000367,CF,CF2020011100550,8,303,,新疆,1920,4131A,S3U4P2
999900000367,CF,CF2020011102074,1,302,,新疆,2020,2128B,S3U3P2
999900000367,CF,CF2020011103794,1,305,,新疆,1920,4127B,S2U2P2
999900000367,CF,CF2020011100303,9,327,,新疆,2020,2127C,S1U3P3
999900000368,CF,CF2020011102253,8,325,,新疆,1920,2128B,S4U3P2
999900000369,CF,CF2020011103099,1,327,,新疆,1920,4132B,S3U2P1
999900000369,CF,CF2020011107215,8,307,,新疆,1920,1131B,S2U4P2
999900000369,CF,CF2020011106828,4,327,,新疆,1920,2130A,S4U3P2
999900000369,CF,CF2020011105086,5,328,,新疆,1920,1130B,S3U2P1
999900000369,CF,CF2020011100707,3,324,,非新疆,2020,3129A,S3U3P3
999900000369,CF,CF2020011107259,2,304,,非新疆,2020,1128B,S3U2P2
999900000369,CF,CF2020011104500,3,317,,新疆,2020,2129A,S1U3P2
999900000369,CF,CF2020011101345,2,302,,非新疆,1920,2229A,S4U2P2
999900000370,CF,CF2020011104861,3,308,,新疆,2020,2228A,S1U3P3
999900000370,CF,CF2020011102246,9,320,,非新疆,2020,4130C,S3U2P2
999900000371,CF,CF2020011102985,9,302,,新疆,1920,1129A,S2U2P3
999900000372,CF,CF2020011101546,5,310,,非新疆,2020,3129B,S3U3P1
999900000372,CF,CF2020011103437,9,319,,新疆,2020,2130B,S3U2P1
999900000372,CF,CF2020011106807,3,332,,非新疆,1920,4129C,S1U3P3
999900000372,CF,CF2020011102853,5,334,,非新疆,1920,2228C,S4U3P3
999900000372,CF,CF2020011107909,7,328,,新疆,1920,2228A,S1U2P2
999900000372,CF,CF2020011103005,8,323,,新疆,2020,2228C,S1U2P2
999900000373,CF,CF2020011107267,8,306,,非新疆,2020,1228C,S1U2P3
999900000373,CF,CF2020011100175,7,327,,新疆,1920,3128C,S3U2P3
999900000373,CF,CF2020011108414,8,334,,非新疆,1920,2129A,S3U4P2
999900000373,CF,CF2020011100804,9,323,,非新疆,1920,3132B,S3U2P1
999900000373,CF,CF2020011102480,2,317,,新疆,1920,3130A,S3U4P2
999900000373,CF,CF2020011101007,8,335,,新疆,2020,4128B,S3U2P1
999900000373,CF,CF2020011109040,1,331,,新疆,1920,2230B,S1U2P3
999900000374,CF,CF2020011101535,7,304,,非新疆,1920,2228A,S3U4P2
999900000374,CF,CF2020011107535,1,304,,新疆,1920,1131B,S2U4P2
999900000374,CF,CF2020011101092,7,304,,新疆,1920,4129B,S3U3P1
999900000375,CF,CF2020011107328,6,310,,非新疆,2020,2229C,S4U4P2
999900000375,CF,CF2020011107691,4,317,,非新疆,1920,4131B,S3U2P2
999900000375,CF,CF2020011109313,1,327,,非新疆,1920,2228A,S3U3P2
999900000375,CF,CF2020011106447,7,335,,新疆,1920,1230A,S4U3P3
999900000375,CF,CF2020011108187,5,330,,新疆,2020,1228A,S2U2P3
999900000375,CF,CF2020011107212,2,303,,非新疆,2020,2229A,S4U3P1
999900000376,CF,CF2020011106984,9,309,,新疆,1920,3129A,S1U3P2
999900000376,CF,CF2020011104648,6,302,,非新疆,2020,4132A,S3U2P2
999900000376,CF,CF2020011102604,2,302,,新疆,2020,3129C,S2U2P3
999900000376,CF,CF2020011101240,5,325,,非新疆,1920,1128C,S1U2P2
999900000376,CF,CF2020011108463,6,313,,非新疆,2020,4132B,S3U2P2
999900000376,CF,CF2020011106358,1,303,,新疆,2020,1130A,S1U3P2
999900000377,CF,CF2020011102220,4,322,,非新疆,2020,2128B,S2U2P1
999900000377,CF,CF2020011105470,8,322,,新疆,1920,1229A,S4U3P2
999900000377,CF,CF2020011101133,6,330,,非新疆,1920,4129A,S2U3P2
999900000378,CF,CF2020011102552,6,305,,新疆,2020,2229C,S4U4P2
999900000378,CF,CF2020011102926,6,327,,非新疆,2020,3131A,S3U2P3
999900000378,CF,CF2020011101923,8,326,,非新疆,2020,3130A,S3U3P1
999900000378,CF,CF2020011109183,7,330,,非新疆,1920,2130B,S2U2P3
999900000378,CF,CF2020011107964,3,330,,非新疆,1920,1228C,S1U2P2
999900000378,CF,CF2020011102709,2,335,,新疆,1920,1229B,S1U2P2
999900000378,CF,CF2020011104641,3,311,,新疆,1920,4130C,S2U3P3
999900000379,CF,CF2020011100515,9,309,,新疆,1920,1127C,S3U4P2
999900000379,CF,CF2020011104406,4,319,,新疆,1920,4129B,S3U3P1
999900000379,CF,CF2020011104905,8,332,,新疆,1920,1129C,S2U3P3
999900000379,CF,CF2020011105504,1,303,,非新疆,2020,2127B,S3U3P3
999900000379,CF,CF2020011107173,3,330,,非新疆,1920,4132B,S4U4P2
999900000379,CF,CF2020011107284,4,308,,非新疆,1920,1230B,S2U4P2
999900000379,CF,CF2020011102806,9,331,,非新疆,1920,1230A,S2U3P1
999900000379,CF,CF2020011102217,5,322,,新疆,2020,4128C,S4U3P1
